Restaurant ID,Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
6508323,The Urban Foundry,1,Pune,"1, Balewadi High Street, Cummins India Office Campus, Baner-Balewadi Link Road, Pune","Balewadi High Street, Balewadi","Balewadi High Street, Balewadi, Pune",73.77472289,18.5691562,"North Indian, Asian",1500,Indian Rupees(Rs.),Yes,No,No,No,3,4.5,Dark Green,Excellent,1099
18383095,Teddy Boy,1,Pune,"9th Floor, Deron Heights, Above Ranka Jewellers, Baner, Pune",Baner,"Baner, Pune",73.80485516,18.5514399,"North Indian, Continental, Finger Food",1200,Indian Rupees(Rs.),Yes,No,No,No,3,3.6,Yellow,Good,507
18378852,Effingut Brewerkz,1,Pune,"4, Deron Heights, Next to Ranka Jewellers, Baner, Pune",Baner,"Baner, Pune",73.7982064,18.554382,"Continental, North Indian, Mughlai, Burmese",2000,Indian Rupees(Rs.),No,Yes,No,No,4,4.3,Green,Very Good,375
13231,Le Plaisir,1,Pune,"759/125, Rajkamal, Opposite Kelkar Eye Hospital, Prabhat Road, Deccan Gymkhana, Pune",Deccan Gymkhana,"Deccan Gymkhana, Pune",73.83842938,18.51420998,"European, Desserts",1000,Indian Rupees(Rs.),No,No,No,No,3,4.8,Dark Green,Excellent,2510
18354483,Farzi Cafe,1,Pune,"Level 1 & 2, Fortaleza Complex, East Avenue, Kalyani Nagar, Pune",Kalyani Nagar,"Kalyani Nagar, Pune",73.9051007,18.5436256,Modern Indian,1500,Indian Rupees(Rs.),No,No,No,No,3,4.3,Green,Very Good,868
18383076,Mineority By Saby,1,Pune,"Level 1/2, Fortaleza Complex, Kalyani Nagar, Pune",Kalyani Nagar,"Kalyani Nagar, Pune",73.90433729,18.54625752,"North Indian, North Eastern, Continental",1400,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,306
6505309,The Little Next Door,1,Pune,"D-10, Central Avenue, Kalyani Nagar, Pune",Kalyani Nagar,"Kalyani Nagar, Pune",73.90062645,18.54694697,"Finger Food, Italian, Spanish, Greek",1000,Indian Rupees(Rs.),Yes,No,No,No,3,4.1,Green,Very Good,1143
6504409,Effingut Brewerkz,1,Pune,"End of Lane Number 6, Koregaon Park, Pune",Koregaon Park,"Koregaon Park, Pune",73.89852025,18.53408003,"Continental, North Indian, Mughlai, Burmese",1800,Indian Rupees(Rs.),No,Yes,No,No,3,4.3,Green,Very Good,1531
18350020,Kargo,1,Pune,"Shop 1&2, Marvel Alaina, Lane  8, Near Godrej Nature's Basket, Koregaon Park, Pune",Koregaon Park,"Koregaon Park, Pune",73.89648478,18.53656175,"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai",900,Indian Rupees(Rs.),Yes,No,No,No,2,4.4,Green,Very Good,635
6508117,Saut��ed Stories,1,Pune,"Plot 5, Between Lane 5/6, North Main Road, Opposite Wellness Forever, Koregaon Park, Pune",Koregaon Park,"Koregaon Park, Pune",73.897902,18.53929933,"Cafe, Italian, Continental",850,Indian Rupees(Rs.),No,Yes,No,No,2,4.2,Green,Very Good,583
18417624,The Sassy Spoon,1,Pune,"Lane 7, Sanskriti Lifestyle Complex, Koregaon Park, Pune",Koregaon Park,"Koregaon Park, Pune",73.899315,18.533811,"European, Asian, Mediterranean, Modern Indian, Desserts, Finger Food",1500,Indian Rupees(Rs.),Yes,No,No,No,3,4.1,Green,Very Good,140
6505564,German Bakery Wunderbar,1,Pune,"153/A, Varun Complex, Near Demech House, Law College Road, Pune",Law College Road,"Law College Road, Pune",73.83054703,18.52001645,"Italian, German, Continental",1000,Indian Rupees(Rs.),No,No,No,No,3,4,Green,Very Good,1583
11371,Chili's,1,Pune,"UG 49, Phoenix Market City, Nagar Road, Viman Nagar, Pune","Phoenix Market City, Viman Nagar","Phoenix Market City, Viman Nagar, Pune",73.9166191,18.5624502,"Mexican, American, Tex-Mex",1800,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.5,Dark Green,Excellent,1439
11807,Barbeque Nation,1,Pune,"3rd Floor, R Deccan Mall, Near Deccan Gymkhana, JM Road, Pune","R Deccan Mall, JM Road","R Deccan Mall, JM Road, Pune",73.84252679,18.51621575,"North Indian, Mughlai",1700,Indian Rupees(Rs.),No,No,No,No,3,4.5,Dark Green,Excellent,2847
